Fecha,Tipo,Categoría,pocketId,Monto,Descripción
29/04/2026,gasto,Transporte,transporte,3000,moto
29/04/2026,gasto,Transporte,transporte,50000,transcaribe
29/04/2026,gasto,Extras,extras,90000,arreglobici
28/04/2026,gasto,Recreación,Recreación,17500,mrbono
28/04/2026,gasto,Transporte,transporte,3000,moto
28/04/2026,gasto,Extras,extras,13000,almuerzo
27/04/2026,gasto,Transporte,transporte,3000,moto
27/04/2026,gasto,Extras,extras,18000,cargador
26/04/2026,gasto,Hogar,hogar,6000,pan
26/04/2026,gasto,Recreación,Recreación,35600,crepes
26/04/2026,gasto,Transporte,transporte,3000,moto
26/04/2026,gasto,Extras,extras,15000,almuerzo
26/04/2026,gasto,Transporte,transporte,4000,buseta
25/04/2026,gasto,Extras,extras,64000,arreglobici
25/04/2026,gasto,Transporte,transporte,4000,transcaribe
25/04/2026,gasto,Recreación,Recreación,78700,pizza
24/04/2026,gasto,Hogar,hogar,14530,Ara
24/04/2026,gasto,Transporte,transporte,3000,Moto
24/04/2026,gasto,Extras,extras,4700000,Cadenas
23/04/2026,gasto,Transporte,transporte,18000,Taxi
23/04/2026,gasto,Extras,extras,32709,Naranjas
23/04/2026,gasto,Hogar,hogar,5010,Azúcar
22/04/2026,gasto,Transporte,transporte,50000,transcaribe
22/04/2026,gasto,Transporte,transporte,3000,moto
21/04/2026,gasto,Servicios,servicios,41700,luz finca
21/04/2026,gasto,Recreación,Recreación,5700,conos
20/04/2026,gasto,Donaciones,donaciones,40000,Favio
20/04/2026,gasto,Hogar,hogar,111780,Luz apartamento
20/04/2026,gasto,Hogar,hogar,101448,mercado
20/04/2026,gasto,Servicios,servicios,20900,Chatgpt
20/04/2026,gasto,Recreación,Recreación,65800,El Corral
19/04/2026,gasto,Capacitaciones,capacitaciones,5600,Pasto taxi museo carnaval
19/04/2026,gasto,Capacitaciones,capacitaciones,7000,Pasto taxi
19/04/2026,gasto,Capacitaciones,capacitaciones,12000,Pasto desayuno
19/04/2026,gasto,Capacitaciones,capacitaciones,38700,Pasto taxis aeropuerto
19/04/2026,gasto,Capacitaciones,capacitaciones,35000,Pasto almuerzo aeropuerto
19/04/2026,gasto,Capacitaciones,capacitaciones,12500,Pasto capuchino
19/04/2026,gasto,Extras,extras,25000,Cena
19/04/2026,gasto,Transporte,transporte,14000,Taxi
18/04/2026,gasto,Capacitaciones,capacitaciones,16400,Pasto desayuno
18/04/2026,gasto,Capacitaciones,capacitaciones,62000,"La cocha, almuerzo,"
18/04/2026,gasto,Capacitaciones,capacitaciones,80000,"La cocha, transporte"
18/04/2026,gasto,Capacitaciones,capacitaciones,100000,La cocha paseo en lancha
18/04/2026,gasto,Capacitaciones,capacitaciones,71400,"La Cocha, souvenir madre"
18/04/2026,gasto,Capacitaciones,capacitaciones,33000,La Cocha souvenirs
18/04/2026,gasto,Capacitaciones,capacitaciones,20000,Pasto merienda
18/04/2026,gasto,Servicios,servicios,45000,Peluquería
17/04/2026,gasto,Capacitaciones,capacitaciones,6900,Pasto taxi terminal
17/04/2026,gasto,Capacitaciones,capacitaciones,15000,Pasto Ipiales bus
17/04/2026,gasto,Capacitaciones,capacitaciones,6000,Ipiales desayuno
17/04/2026,gasto,Capacitaciones,capacitaciones,4000,Ipiales bus Rumichaca y regreso
17/04/2026,gasto,Capacitaciones,capacitaciones,115706,pasto souvenirs
17/04/2026,gasto,Capacitaciones,capacitaciones,10000,Ipiales merienda
17/04/2026,gasto,Capacitaciones,capacitaciones,10000,Ipiales cementerio
17/04/2026,gasto,Capacitaciones,capacitaciones,7000,Tulcán ida y regreso Rumichaca
17/04/2026,gasto,Capacitaciones,capacitaciones,6000,Transporte Ipiales las Lajas
17/04/2026,gasto,Capacitaciones,capacitaciones,5700,"Las Lajas, merienda"
17/04/2026,gasto,Capacitaciones,capacitaciones,34000,"Las Lajas, Teleférico"
17/04/2026,gasto,Capacitaciones,capacitaciones,9000,Ipiales cena
17/04/2026,gasto,Capacitaciones,capacitaciones,16000,Ipiales pasto bus
17/04/2026,gasto,Capacitaciones,capacitaciones,9600,Pasto taxi
16/04/2026,gasto,Capacitaciones,capacitaciones,9000,Pasto taxi
16/04/2026,gasto,Capacitaciones,capacitaciones,21900,Pasto desayuno almuerzo
16/04/2026,gasto,Capacitaciones,capacitaciones,115000,Pasto souvenirs
16/04/2026,gasto,Capacitaciones,capacitaciones,3000,Pasto pan
16/04/2026,gasto,Capacitaciones,capacitaciones,5000,Pasto casa museo
16/04/2026,gasto,Capacitaciones,capacitaciones,8000,Pasto taxi
16/04/2026,gasto,Capacitaciones,capacitaciones,14500,Pasto merienda
16/04/2026,gasto,Cuota Apartamento,cuota apartamento,651777,Crédito apto
16/04/2026,gasto,Hogar,hogar,127723,Agua
16/04/2026,gasto,Hogar,hogar,20104,Gas
15/04/2026,gasto,Capacitaciones,capacitaciones,8500,Pasto taxi
15/04/2026,gasto,Capacitaciones,capacitaciones,4000,Pasto merienda
15/04/2026,gasto,Capacitaciones,capacitaciones,17100,Pasto almuerzo
15/04/2026,gasto,Capacitaciones,capacitaciones,9000,Pasto taxi
15/04/2026,gasto,Extras,extras,25900,Crema dental
15/04/2026,gasto,Capacitaciones,capacitaciones,27000,Pasto cena
14/04/2026,gasto,Capacitaciones,capacitaciones,12000,Taxi Cartagena
14/04/2026,gasto,Capacitaciones,capacitaciones,22000,Pasto taxi
14/04/2026,gasto,Capacitaciones,capacitaciones,7000,Pasto merienda
14/04/2026,gasto,Capacitaciones,capacitaciones,14100,Pasto Mr Bono
13/04/2026,gasto,Hogar,hogar,40000,Ledis
13/04/2026,gasto,Hogar,hogar,25000,Ledis
12/04/2026,gasto,Donaciones,donaciones,140000,Ricardo
12/04/2026,gasto,Hogar,hogar,44086,Ara
12/04/2026,gasto,Hogar,hogar,2000,Pan
12/04/2026,gasto,Capacitaciones,capacitaciones,345000,Pasto Airbnb
11/04/2026,gasto,Hogar,hogar,18490,Jumbo
10/04/2026,gasto,Transporte,transporte,11000,Buseta
10/04/2026,gasto,Recreación,Recreación,600,Banano
10/04/2026,gasto,Recreación,Recreación,23000,Gaseosas
10/04/2026,gasto,Extras,extras,100000,Audífonos
10/04/2026,gasto,Recreación,Recreación,140400,Cumpleaños Dan
10/04/2026,gasto,Recreación,Recreación,32000,Almuerzos
09/04/2026,gasto,Transporte,transporte,50000,Transcaribe
09/04/2026,gasto,Hogar,hogar,18490,Jumbo
09/04/2026,gasto,Recreación,Recreación,18600,Mr Bono
09/04/2026,gasto,Recreación,Recreación,18600,Jugos
08/04/2026,gasto,Recreación,Recreación,30800,Café instantáneo
07/04/2026,gasto,Transporte,transporte,74000,Taxi
07/04/2026,gasto,Hogar,hogar,50000,Ledis
07/04/2026,gasto,Recreación,Recreación,140000,Il Forno
07/04/2026,gasto,Recreación,Recreación,40000,El Depósito Café
07/04/2026,gasto,Capacitaciones,capacitaciones,975710,Pasto Vuelo
06/04/2026,gasto,Servicios,servicios,48195,Colsanitas
06/04/2026,gasto,Servicios,servicios,73650,Celular
06/04/2026,gasto,Hogar,hogar,51244,Internet
06/04/2026,gasto,Recreación,Recreación,44800,Hamburguesa
06/04/2026,gasto,Recreación,Recreación,800,Botella de agua
05/04/2026,gasto,Donaciones,donaciones,52000,Eucaristía
05/04/2026,gasto,Recreación,Recreación,10000,El Depósito Café
05/04/2026,gasto,Recreación,Recreación,74296,Mila
05/04/2026,gasto,Recreación,Recreación,9000,Cerveza
04/04/2026,gasto,Hogar,hogar,35000,Ledis
04/04/2026,gasto,Hogar,hogar,3000,Pan
04/04/2026,gasto,Recreación,Recreación,17300,Tostao
03/04/2026,gasto,Donaciones,donaciones,140000,Ricardo
03/04/2026,gasto,Hogar,hogar,28706,Jumbo
03/04/2026,gasto,Recreación,Recreación,19800,Crepes
02/04/2026,gasto,Donaciones,donaciones,400000,madre
02/04/2026,gasto,Hogar,hogar,14943,Ara
02/04/2026,gasto,Recreación,Recreación,25990,Jumbo salsa
02/04/2026,gasto,Recreación,Recreación,3900,Mr Bono
01/04/2026,gasto,Hogar,hogar,15665,Carne
01/04/2026,gasto,Extras,extras,506635,Lavavajillas
01/04/2026,gasto,Extras,extras,21785,Almohadas
01/04/2026,gasto,Recreación,Recreación,107967,Ollas
